customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender_encoded,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No
7590-VHVEG,Female,0,Yes,No,-1.2802480369298874,No,No phone service,No,Yes,No,No,No,No,Yes,Electronic check,-1.1616939352451685,-0.9941940877241977,0,0,True,False,False,True,False,False
5575-GNVDE,Male,0,No,No,0.06430268518835193,Yes,No,Yes,No,Yes,No,No,No,No,Mailed check,-0.2608779199297493,-0.17373981825040724,0,1,False,True,False,True,False,False
3668-QPYBK,Male,0,No,No,-1.2395040756535771,Yes,No,Yes,Yes,No,No,No,No,Yes,Mailed check,-0.3639232943754246,-0.9596491092068434,1,1,True,False,False,True,False,False
7795-CFOCW,Male,0,No,No,0.512486259227765,No,No phone service,Yes,No,Yes,Yes,No,No,No,Bank transfer (automatic),-0.747850415293989,-0.19524770717404732,0,1,False,True,False,True,False,False
9237-HQITU,Female,0,No,No,-1.2395040756535771,Yes,No,No,No,No,No,No,No,Yes,Electronic check,0.19617817640187488,-0.94045745447498,1,0,True,False,False,False,True,False
9305-CDSKC,Female,0,No,No,-0.9950403079957154,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic check,1.1584890119510036,-0.6453692184426381,1,0,True,False,False,False,True,False
1452-KIOVK,Male,0,No,Yes,-0.42462485012737144,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Credit card (automatic),0.8078023344020117,-0.14731268909089865,0,1,True,False,False,False,True,False
6713-OKOMC,Female,0,No,No,-0.9135523854430948,No,No phone service,Yes,No,No,No,No,No,No,Mailed check,-1.1650179795821258,-0.8741690378436584,0,0,True,False,False,True,False,False
7892-POOKP,Female,0,Yes,No,-0.18016108246950976,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,1.3296772953043026,0.33651554451135574,1,0,True,False,False,False,True,False
6388-TABGU,Male,0,No,Yes,1.2051336009250397,Yes,No,Yes,Yes,No,No,No,No,No,Bank transfer (automatic),-0.28747027462540753,0.5314762853391823,0,1,False,True,False,True,False,False
9763-GRSKD,Male,0,Yes,Yes,-0.791320501614164,Yes,No,Yes,No,No,No,No,No,Yes,Mailed check,-0.4935610235167579,-0.7481879571842651,0,1,True,False,False,True,False,False
7469-LKBCI,Male,0,No,No,-0.6690886177852331,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),-1.5240147679735105,-0.8631834699626608,0,1,False,False,True,False,False,True
8091-TTVAX,Male,0,Yes,No,1.0421577558197987,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Credit card (automatic),1.181757322309704,1.4990665744239262,0,1,False,True,False,False,True,False
